1.1950,1.6400,2.1050,2.4660,2.7340
1.1490,1.6690,2.1550,2.4310,2.7120
1.1370,1.7280,2.1480,2.4440,2.7060
1.1820,1.7120,2.0860,2.4560,2.7090
1.1680,1.6750,2.0900,2.4350,2.7110
1.1170,1.6160,2.0020,2.4310,2.7080
1.1760,1.5500,1.9440,2.2830,2.7010
1.1110,1.5570,1.9480,2.3200,2.7060
1.0840,1.6140,2.0180,2.3640,2.7050
1.0810,1.5920,1.9550,2.3610,2.7000
1.1160,1.6150,1.9620,2.4140,2.7010
1.1340,1.6520,2.0510,2.3630,2.7050
1.0840,1.5370,2.0350,2.3660,2.7020
1.1140,1.5880,2.0190,2.4230,2.7010
1.0830,1.6470,2.0130,2.4250,2.7000
1.0470,1.5820,2.0520,2.4520,2.6990
1.1040,1.6130,2.0340,2.4690,2.6980
1.1310,1.6120,1.9370,2.4130,2.7040
1.1450,1.5730,2.0650,2.4100,2.7020
1.1150,1.6840,2.0570,2.4020,2.7040
